Date,Price,Open,High,Low,Volume,Chg%
2014-03-03,32051,30700,32279,30700,5670,4.63
2014-03-04,31126,31500,32379,31090,1310,-2.89
2014-03-05,32351,31200,32500,30770,1490,3.94
2014-03-06,30416,30350,30446,30105,21500,-5.98
2014-03-07,30307,30361,30514,30130,19380,-0.36
2014-03-10,30327,30253,30350,30145,13500,0.07
2014-03-11,30421,30301,30515,30166,23170,0.31
2014-03-12,30627,30468,30690,30468,19020,0.68
2014-03-13,30697,30677,30735,30492,15380,0.23
2014-03-14,30719,30730,30849,30610,19040,0.07
2014-03-17,30557,30699,30710,30525,5190,-0.53
2014-03-18,30389,30511,30511,30311,15940,-0.55
2014-03-19,30169,30392,30416,30122,13680,-0.72
2014-03-20,29924,30110,30168,29885,14010,-0.81
2014-03-21,29850,29893,30038,29817,11960,-0.25
2014-03-24,29182,29810,29810,29141,18000,-2.24
2014-03-25,28971,29230,29317,28931,20330,-0.72
2014-03-26,28595,29020,29043,28335,16650,-1.3
2014-03-27,28521,28631,28740,28351,17230,-0.26
2014-03-28,28434,28488,28630,28213,18090,-0.31
2014-03-31,28470,28427,28778,28340,12650,0.13
2014-04-01,28116,28432,28507,28058,8840,-1.24
2014-04-02,28404,28035,28470,27361,480,1.02
2014-04-03,28460,28500,28699,28365,110,0.2
2014-04-04,28519,28400,28885,28400,190,0.21
2014-04-05,28549,28549,28549,28549,0,0.11
2014-04-07,28574,28599,28643,28481,10450,0.09
2014-04-08,28754,28639,28842,28639,5740,0.63
2014-04-09,28710,28754,28856,28653,12120,-0.15
2014-04-10,29094,28757,29119,28757,13700,1.34
2014-04-11,29085,29090,29162,28973,10530,-0.03
2014-04-14,29350,29095,29371,29095,6090,0.91
2014-04-15,29342,29287,29395,29059,21410,-0.03
2014-04-16,29290,29280,29320,28900,16580,-0.18
2014-04-17,29293,29256,29386,29185,10460,0.01
2014-04-19,29339,29339,29339,29339,0,0.16
2014-04-21,29548,29207,29599,29072,13860,0.71
2014-04-22,29423,29550,29649,29381,11700,-0.42
2014-04-23,29752,29480,29775,29433,9860,1.12
2014-04-25,29741,29750,29939,29650,10180,-0.04
2014-04-27,29695,29695,29695,29695,0,-0.15
2014-04-28,29824,29895,29900,29756,6680,0.43
2014-04-29,29713,29786,29799,29607,6760,-0.37
2014-04-30,31014,29602,31495,29571,12250,4.38
2014-05-01,30380,31033,31743,29914,2850,-2.04
2014-05-02,30182,30388,30440,30080,930,-0.65
2014-05-05,29967,30211,30347,29834,1040,-0.71
2014-05-06,29109,29187,29231,29081,9330,-2.86
2014-05-07,28747,29164,29275,28725,15480,-1.24
2014-05-08,28734,28787,28846,28665,9560,-0.05
2014-05-09,28741,28677,28877,28673,10090,0.02
2014-05-12,28860,28732,29025,28575,14220,0.41
2014-05-13,28673,28787,28874,28633,12740,-0.65
2014-05-14,28911,28769,28960,28769,7410,0.83
2014-05-15,28624,28882,28882,28575,14660,-0.99
2014-05-16,28322,28575,28575,28251,11490,-1.06
2014-05-19,28336,28275,28475,28233,11590,0.05
2014-05-20,28424,28291,28460,28253,15280,0.31
2014-05-21,27501,28445,28540,27432,31580,-3.25
2014-05-22,27386,27504,27640,27252,24650,-0.42
2014-05-23,27528,27400,27584,27281,13710,0.52
2014-05-26,27586,27544,27620,27421,11500,0.21
2014-05-27,27087,27567,27598,27010,19860,-1.81
2014-05-28,26987,27032,27100,26853,15200,-0.37
2014-05-29,26984,26945,27083,26661,18000,-0.01
2014-05-30,27151,26915,27215,26862,12890,0.62
2014-06-02,26626,27012,27130,26520,2920,-1.93
2014-06-03,26732,26756,26874,26592,450,0.4
2014-06-04,26708,26582,26910,26582,130,-0.09
2014-06-05,26771,26800,26860,26605,70,0.24
2014-06-06,26400,26548,26600,26350,11550,-1.39
2014-06-09,26545,26400,26570,26278,8470,0.55
2014-06-10,26712,26585,26738,26475,11670,0.63
2014-06-11,26736,26720,26780,26527,13560,0.09
2014-06-12,27014,26740,27050,26640,14160,1.04
2014-06-13,27235,27020,27289,26988,10270,0.82
2014-06-16,27395,27255,27644,27255,12660,0.59
2014-06-17,27418,27306,27488,27135,13700,0.08
2014-06-18,27353,27351,27538,27230,14470,-0.24
2014-06-19,28160,27313,28199,27313,21910,2.95
2014-06-20,28154,28150,28349,27977,18080,-0.02
2014-06-23,28111,28245,28267,28035,12310,-0.15
2014-06-24,28167,28099,28369,27860,17400,0.2
2014-06-25,28221,28121,28290,28057,14010,0.19
2014-06-26,28126,28190,28208,27935,17380,-0.34
2014-06-27,28063,28201,28236,28005,9920,-0.22
2014-06-30,28076,28000,28185,27967,8760,0.05
2014-07-01,27975,28210,28277,27950,4410,-0.36
2014-07-02,27788,27950,28225,27750,2880,-0.67
2014-07-03,27802,27552,27900,27552,1200,0.05
2014-07-04,27913,27884,27975,27755,260,0.4
2014-07-07,27564,27611,27611,27455,11210,-1.25
2014-07-08,27594,27582,27725,27460,15210,0.11
2014-07-09,27667,27620,27771,27612,11340,0.26
2014-07-10,28565,27650,28649,27560,40700,3.25
2014-07-11,28441,28517,28579,28302,15110,-0.43
2014-07-12,28413,28413,28413,28413,0,-0.1
2014-07-13,28413,28413,28413,28413,0,0.0
2014-07-14,27860,28380,28380,27839,21930,-1.95
2014-07-15,27752,27890,28050,27686,18230,-0.39
2014-07-16,27767,27800,27825,27671,14010,0.05
2014-07-17,28237,27824,28450,27810,24740,1.69
2014-07-18,28028,28227,28233,27960,13870,-0.74
2014-07-20,28030,28030,28030,28030,0,0.01
2014-07-21,28120,28068,28247,28022,13210,0.32
2014-07-22,27939,28061,28135,27851,19880,-0.64
2014-07-23,27915,27930,28046,27888,11870,-0.09
2014-07-24,27651,27882,27882,27630,16960,-0.95
2014-07-25,27973,27696,27994,27673,12810,1.16
2014-07-27,27960,27960,27960,27960,0,-0.05
2014-07-28,27909,27985,28085,27874,10300,-0.18
2014-07-29,27855,27950,28067,27827,7440,-0.19
2014-07-30,27936,27888,27984,27740,10900,0.29
2014-07-31,27788,27800,27969,27751,11560,-0.53
2014-08-01,28037,27810,28124,27761,3300,0.9
2014-08-04,27952,28023,28118,27900,1020,-0.3
2014-08-05,28392,27959,28790,27724,220,1.57
2014-08-06,28559,28130,28640,28088,19080,0.59
2014-08-07,28695,28559,28750,28460,14960,0.48
2014-08-08,28515,28730,29010,28500,21260,-0.63
2014-08-10,28510,28510,28510,28510,0,-0.02
2014-08-11,28554,28480,28600,28445,8670,0.15
2014-08-12,28641,28520,28780,28474,12990,0.3
2014-08-13,28567,28590,28645,28480,13990,-0.26
2014-08-14,28489,28521,28657,28378,16180,-0.27
2014-08-18,28167,28405,28405,28140,10490,-1.13
2014-08-19,28124,28170,28248,28087,9500,-0.15
2014-08-20,28079,28120,28158,28025,10170,-0.16
2014-08-21,27599,28025,28025,27550,17840,-1.71
2014-08-22,27634,27657,27720,27555,11050,0.13
2014-08-25,27632,27624,27678,27535,8400,-0.01
2014-08-26,27720,27652,27880,27652,13070,0.32
2014-08-27,27599,27741,27760,27575,9260,-0.44
2014-08-28,27884,27642,27974,27642,14140,1.03
2014-08-29,27794,27835,27835,27652,4090,-0.32
2014-09-01,27679,27747,27774,27651,4160,-0.41
2014-09-02,27340,27610,27676,27318,4010,-1.22
2014-09-03,27355,27362,27420,27186,1120,0.05
2014-09-04,27282,27418,27427,27262,270,-0.27
2014-09-05,27225,27250,27360,27068,340,-0.21
2014-09-08,27207,27448,27497,27116,13170,-0.07
2014-09-09,27272,27237,27395,27159,15560,0.24
2014-09-10,27194,27350,27441,27152,13410,-0.29
2014-09-11,26996,27207,27246,26970,18440,-0.73
2014-09-12,26909,26958,26995,26801,16070,-0.32
2014-09-13,26900,26900,26900,26900,0,-0.03
2014-09-15,27006,26949,27118,26913,16610,0.39
2014-09-16,26954,27008,27110,26920,19690,-0.19
2014-09-17,26907,26960,27009,26860,12060,-0.17
2014-09-18,26659,26860,26860,26572,15980,-0.92
2014-09-19,26497,26605,26694,26470,15870,-0.61
2014-09-22,26605,26436,26665,26313,16470,0.41
2014-09-23,26682,26586,26937,26488,16660,0.29
2014-09-24,26552,26685,26760,26526,13880,-0.49
2014-09-25,26919,26514,26950,26381,19580,1.38
2014-09-26,26694,26960,27100,26665,19990,-0.84
2014-09-27,26693,26693,26693,26693,0,-0.0
2014-09-29,26819,26760,26915,26685,9130,0.47
2014-09-30,26805,26807,26968,26633,10680,-0.05
2014-10-01,26790,26695,26840,26552,3920,-0.06
2014-10-03,26439,26931,26931,26377,11020,-1.31
2014-10-05,26424,26424,26424,26424,0,-0.06
2014-10-06,26637,26476,26667,26352,6970,0.81
2014-10-07,26673,26581,26710,26566,14870,0.14
2014-10-08,26633,26698,26885,26620,15810,-0.15
2014-10-09,26847,26696,26938,26696,16430,0.8
2014-10-10,26855,26813,26940,26750,15640,0.03
2014-10-13,26855,26900,27135,26811,16690,0.0
2014-10-14,27128,26892,27170,26892,15720,1.02
2014-10-16,27328,27150,27475,27150,17550,0.74
2014-10-17,27151,27310,27362,27085,14210,-0.65
2014-10-20,27302,27131,27360,27078,11360,0.56
2014-10-21,27394,27358,27496,27343,12770,0.34
2014-10-22,27333,27369,27389,27265,9860,-0.22
2014-10-23,26940,27174,27174,26913,6400,-1.44
2014-10-24,26963,27050,27067,26950,3460,0.09
2014-10-27,27008,26957,27048,26913,7360,0.17
2014-10-28,26909,26962,27076,26880,8530,-0.37
2014-10-29,26864,26974,26990,26805,6310,-0.17
2014-10-30,26376,26811,26811,26326,10880,-1.82
2014-10-31,25924,26350,26375,25684,15940,-1.71
2014-11-03,25868,25877,25947,25750,3750,-0.22
2014-11-04,25810,25930,25965,25725,220,-0.22
2014-11-05,25348,25578,26340,25201,980,-1.79
2014-11-06,25467,25448,25568,25411,8380,0.47
2014-11-07,25926,25475,25970,25172,30780,1.8
2014-11-10,25719,25949,26070,25670,15440,-0.8
2014-11-11,25793,25632,25861,25434,19180,0.29
2014-11-12,25794,25798,25940,25735,17110,0.0
2014-11-13,25827,25849,25920,25689,20230,0.13
2014-11-14,26458,25791,26519,25585,33820,2.44
2014-11-16,26411,26411,26411,26411,0,-0.18
2014-11-17,26319,26370,26499,26275,20730,-0.35
2014-11-18,26587,26367,26756,26367,24600,1.02
2014-11-19,26710,26548,26840,26235,33870,0.46
2014-11-20,26459,26620,26620,26375,26020,-0.94
2014-11-21,26390,26509,26623,26340,26750,-0.26
2014-11-24,26473,26462,26539,26420,15020,0.31
2014-11-25,26338,26480,26537,26322,19750,-0.51
2014-11-26,26397,26395,26440,26330,10020,0.22
2014-11-27,26237,26355,26355,26170,14220,-0.61
2014-11-28,25853,26150,26244,25815,15530,-1.46
2014-12-01,26546,25803,26627,25123,5730,2.68
2014-12-02,26224,26438,27050,26087,1150,-1.21
2014-12-03,26496,26309,26699,26236,90,1.04
2014-12-04,26488,26299,26850,26299,60,-0.03
2014-12-05,26279,26698,26698,25801,170,-0.79
2014-12-08,26228,26277,26350,26164,10300,-0.19
2014-12-09,27023,26322,27168,26321,25020,3.03
2014-12-10,27054,27000,27220,26910,18250,0.11
2014-12-11,27142,27096,27240,26860,18570,0.33
2014-12-12,27088,27168,27188,26910,19320,-0.2
2014-12-15,27173,27037,27348,26912,19060,0.31
2014-12-16,27044,27120,27636,26822,35790,-0.47
2014-12-17,26802,27011,27099,26775,19260,-0.89
2014-12-18,26659,26888,27111,26580,22400,-0.53
2014-12-19,26859,26725,26922,26654,13730,0.75
2014-12-22,26458,26859,26910,26403,15110,-1.49
2014-12-23,26468,26499,26600,26366,13760,0.04
2014-12-24,26433,26500,26514,26411,6950,-0.13
2014-12-26,26894,26470,26930,26470,13780,1.74
2014-12-29,26598,26919,26919,26560,10820,-1.1
2014-12-30,26908,26646,27068,26511,16300,1.17
2014-12-31,26594,26909,26909,26491,9510,-1.17
2015-01-01,26586,26610,26647,26539,1820,-0.03
2015-01-02,26700,26585,26740,26285,1990,0.43
2015-01-05,26847,26800,26911,26650,570,0.55
2015-01-06,27385,27095,27442,27094,26640,2.0
2015-01-07,27159,27328,27350,27110,19660,-0.83
2015-01-08,26808,27150,27150,26770,21730,-1.29
2015-01-09,26806,26751,26877,26680,19710,-0.01
2015-01-12,27032,26865,27119,26839,21930,0.84
2015-01-13,27071,27118,27258,27020,22930,0.14
2015-01-14,27210,27013,27280,26916,24400,0.51
2015-01-15,27493,27150,27546,26731,50280,1.04
2015-01-16,27673,27540,27798,27383,28540,0.65
2015-01-17,27627,27627,27627,27627,0,-0.17
2015-01-19,27718,27642,27784,27633,15760,0.33
2015-01-20,28098,27700,28145,27700,27570,1.37
2015-01-21,27992,28071,28298,27850,27720,-0.38
2015-01-22,28055,27966,28240,27762,27560,0.23
2015-01-23,27884,28015,28114,27813,18520,-0.61
2015-01-25,27887,27887,27887,27887,0,0.01
2015-01-27,27934,27815,28033,27584,20580,0.17
2015-01-28,27795,27896,27974,27771,15130,-0.5
2015-01-29,27470,27782,27848,27435,22610,-1.17
2015-01-30,27911,27540,28260,27470,16390,1.61
2015-02-02,28071,28120,28197,27743,2230,0.57
2015-02-03,27687,28071,28079,27600,540,-1.37
2015-02-04,27814,27660,27835,27578,170,0.46
2015-02-05,27683,27785,27900,27461,110,-0.47
2015-02-06,26968,27498,27598,26912,22240,-2.58
2015-02-09,27119,27011,27172,26996,13600,0.56
2015-02-10,27016,27180,27180,26984,13530,-0.38
2015-02-11,26817,27050,27050,26770,16680,-0.74
2015-02-12,26635,26756,26920,26620,15850,-0.68
2015-02-13,26694,26700,26815,26642,17170,0.22
2015-02-16,26742,26720,26884,26720,8740,0.18
2015-02-17,26241,26722,26722,26215,11240,-1.87
2015-02-18,26181,26280,26390,26128,15570,-0.23
2015-02-19,26294,26260,26521,26199,16560,0.43
2015-02-20,26317,26337,26435,26186,15080,0.09
2015-02-21,26319,26319,26319,26319,0,0.01
2015-02-23,26178,26281,26310,26001,18600,-0.54
2015-02-24,26077,26219,26277,26015,14350,-0.39
2015-02-25,26142,26138,26343,26120,14250,0.25
2015-02-26,26239,26200,26370,26200,14620,0.37
2015-02-27,26206,26243,26320,26132,13560,-0.13
2015-02-28,26480,26111,26518,26043,8150,1.05
2015-03-02,26541,26508,26997,26440,5080,0.23
2015-03-03,26453,26527,26601,26400,1050,-0.33
2015-03-04,26539,26500,26600,26401,3300,0.33
2015-03-05,26473,26510,26599,26418,220,-0.25
2015-03-06,26058,26485,26530,26025,15680,-1.57
2015-03-09,26062,26096,26177,26041,12550,0.02
2015-03-10,25960,26050,26100,25825,21180,-0.39
2015-03-11,25716,25979,25996,25691,17900,-0.94
2015-03-12,25690,25750,25890,25609,21260,-0.1
2015-03-13,25909,25750,25945,25750,19760,0.85
2015-03-14,25922,25922,25922,25922,0,0.05
2015-03-16,25797,25945,25967,25735,14550,-0.48
2015-03-17,25635,25741,25830,25551,20540,-0.63
2015-03-18,25653,25665,25700,25520,16400,0.07
2015-03-19,25970,25712,25992,25712,21330,1.24
2015-03-20,26195,25996,26249,25915,18360,0.87
2015-03-23,26208,26195,26226,26089,11460,0.05
2015-03-24,26350,26180,26389,26140,14190,0.54
2015-03-25,26491,26313,26519,26219,14890,0.54
2015-03-26,26805,26519,26991,26519,16890,1.19
2015-03-27,26564,26774,26774,26381,15740,-0.9
2015-03-30,26239,26468,26468,26200,10610,-1.22
2015-03-31,26061,26200,26310,26020,5280,-0.68
2015-04-01,26510,26122,26800,26060,1600,1.72
2015-04-02,26548,26601,26697,26460,7800,0.14
2015-04-06,26941,26625,27038,26625,13580,1.48
2015-04-07,26829,26925,26928,26801,8930,-0.42
2015-04-08,26682,26842,26873,26615,11850,-0.55
2015-04-09,26452,26612,26612,26410,12460,-0.86
2015-04-10,26703,26482,26750,26452,13550,0.95
2015-04-13,26616,26703,26730,26550,10390,-0.33
2015-04-14,26454,26569,26569,26300,8700,-0.61
2015-04-15,26644,26450,26680,26388,12440,0.72
2015-04-16,26533,26644,26740,26472,12930,-0.42
2015-04-17,26702,26530,26730,26520,11630,0.64
2015-04-20,26719,26699,26849,26670,11990,0.06
2015-04-21,26803,26745,26820,26632,14250,0.31
2015-04-22,26489,26778,26848,26459,16540,-1.17
2015-04-23,26777,26515,26792,26461,12510,1.09
2015-04-24,26574,26734,26839,26521,12980,-0.76
2015-04-27,26944,26624,26980,26588,12830,1.39
2015-04-28,27036,26969,27059,26833,9360,0.34
2015-04-29,27096,26985,27140,26953,8630,0.22
2015-04-30,26593,27056,27148,26500,10430,-1.86
2015-05-01,26483,26572,26572,26300,2020,-0.41
2015-05-04,26747,26580,27114,26580,390,1.0
2015-05-05,26852,26734,27060,26640,190,0.39
2015-05-06,26928,26950,27070,26835,14940,0.28
2015-05-07,26951,26904,27050,26862,15860,0.09
2015-05-08,26903,26960,27019,26825,16350,-0.18
2015-05-11,26853,26898,26969,26786,14010,-0.19
2015-05-12,27180,26899,27225,26892,17500,1.22
2015-05-13,27539,27131,27569,27063,21700,1.32
2015-05-14,27444,27465,27599,27370,19020,-0.34
2015-05-15,27473,27417,27500,27260,15940,0.11
2015-05-18,27629,27518,27695,27513,13940,0.57
2015-05-19,27309,27565,27599,27266,17570,-1.16
2015-05-20,27299,27280,27370,27205,11460,-0.04
2015-05-21,27130,27280,27339,27108,12950,-0.62
2015-05-22,27105,27144,27327,27071,13440,-0.09
2015-05-25,27180,27112,27197,27101,6980,0.28
2015-05-26,26917,27154,27227,26884,14640,-0.97
2015-05-27,26900,26929,26994,26856,9900,-0.06
2015-05-28,26899,26877,26950,26760,11250,-0.0
2015-05-29,26866,26900,26949,26820,8560,-0.12
2015-06-01,26690,26926,27014,26133,4370,-0.66
2015-06-02,26856,26743,26929,26730,820,0.62
2015-06-03,26806,26908,27000,26775,180,-0.19
2015-06-04,26564,26840,26869,26454,40,-0.9
2015-06-05,26439,26599,26613,26371,260,-0.47
2015-06-08,26693,26691,26749,26621,8060,0.96
2015-06-09,26754,26715,26817,26665,11230,0.23
2015-06-10,26850,26750,26958,26730,10570,0.36
2015-06-11,26772,26864,26864,26681,9480,-0.29
2015-06-12,26773,26770,26860,26725,9190,0.0
2015-06-15,26915,26795,26997,26625,14250,0.53
2015-06-16,26831,26938,26958,26760,9780,-0.31
2015-06-17,26763,26828,26828,26690,8430,-0.25
2015-06-18,27031,26760,27120,26760,15630,1.0
2015-06-19,26959,27020,27061,26901,7990,-0.27
2015-06-22,26589,26941,26941,26570,11550,-1.37
2015-06-23,26478,26650,26676,26461,9710,-0.42
2015-06-24,26418,26510,26559,26361,9930,-0.23
2015-06-25,26365,26470,26494,26342,7830,-0.2
2015-06-26,26399,26383,26468,26292,9710,0.13
2015-06-29,26508,26482,26716,26461,8860,0.41
2015-06-30,26301,26452,26470,26211,7760,-0.78
2015-07-01,26182,26275,26380,26160,1790,-0.45
2015-07-02,26024,26164,26246,25985,470,-0.6
2015-07-03,26393,26010,26800,26005,270,1.42
2015-07-06,26335,26393,26397,26205,11600,-0.22
2015-07-07,26032,26271,26288,25886,19000,-1.15
2015-07-08,26222,26011,26250,25870,17350,0.73
2015-07-09,26071,26130,26250,26050,14660,-0.58
2015-07-10,26071,26080,26175,26030,12140,0.0
2015-07-13,26033,26122,26125,25952,12040,-0.15
2015-07-14,25934,26026,26095,25911,11830,-0.38
2015-07-15,25852,25987,25987,25774,14060,-0.32
2015-07-16,25774,25824,25824,25720,10570,-0.3
2015-07-17,25505,25780,25780,25482,13120,-1.04
2015-07-20,25042,25480,25480,24910,23100,-1.82
2015-07-21,24908,24997,25065,24881,14620,-0.54
2015-07-22,24688,24850,24850,24591,20050,-0.88
2015-07-23,24742,24786,24919,24716,18270,0.22
2015-07-24,24729,24701,24829,24470,19480,-0.05
2015-07-27,24910,24694,25034,24671,21500,0.73
2015-07-28,24768,24837,24870,24714,14790,-0.57
2015-07-29,24729,24784,24849,24705,14890,-0.16
2015-07-30,24739,24702,24824,24581,17050,0.04
2015-07-31,24789,24680,24919,24551,15360,0.2
2015-08-03,24696,24823,24886,24666,2830,-0.38
2015-08-04,24638,24670,24704,24540,290,-0.23
2015-08-05,24545,24614,24635,24500,100,-0.38
2015-08-06,24692,24583,24745,24530,10620,0.6
2015-08-07,24796,24682,24872,24615,19130,0.42
2015-08-10,25026,24800,25096,24774,14670,0.93
2015-08-11,25323,25045,25430,25002,20870,1.19
2015-08-12,25898,25400,25923,25400,23190,2.27
2015-08-13,25763,25785,25859,25700,14690,-0.52
2015-08-14,25636,25706,25832,25605,13490,-0.49
2015-08-17,25924,25710,25999,25710,13380,1.12
2015-08-18,25890,25920,25971,25732,15150,-0.13
2015-08-19,26084,25870,26115,25801,15890,0.75
2015-08-20,26723,26145,26746,26145,21390,2.45
2015-08-21,27090,26780,27177,26676,27330,1.37
2015-08-24,27290,27100,27689,27070,27660,0.74
2015-08-25,26595,27250,27250,26533,23410,-2.55
2015-08-26,26341,26602,26694,26075,20090,-0.96
2015-08-27,26197,26271,26360,26102,13820,-0.55
2015-08-28,26490,26220,26600,26220,11900,1.12
2015-08-31,26540,26490,26600,26363,6820,0.19
2015-09-01,26623,26636,26847,26530,2330,0.31
2015-09-02,26417,26594,26639,26200,630,-0.77
2015-09-03,26196,26432,26474,26130,250,-0.84
2015-09-04,26256,26325,26490,26001,250,0.23
2015-09-07,26506,26595,26620,26465,9330,0.95
2015-09-08,26436,26500,26567,26391,14030,-0.26
2015-09-09,26069,26450,26486,26010,16520,-1.39
2015-09-10,26179,26150,26299,26062,16920,0.42
2015-09-11,25981,26190,26209,25918,15490,-0.76
2015-09-14,26078,26045,26128,25970,12160,0.37
2015-09-15,25982,26089,26095,25956,12790,-0.37
2015-09-16,26285,25994,26367,25967,20080,1.17
2015-09-17,26176,26212,26273,26113,7410,-0.41
2015-09-18,26476,26300,26591,26300,23100,1.15
2015-09-21,26345,26488,26550,26281,17900,-0.49
2015-09-22,26242,26320,26470,26180,22310,-0.39
2015-09-23,26476,26240,26509,26210,16309,0.89
2015-09-24,26965,26510,27078,26462,28450,1.85
2015-09-25,26744,26900,26900,26634,10770,-0.82
2015-09-28,26508,26746,26746,26361,16510,-0.88
2015-09-29,26253,26574,26590,26228,18830,-0.96
2015-09-30,25803,26211,26371,25737,22290,-1.71
2015-10-01,25782,25780,25863,25680,6120,-0.08
2015-10-05,26094,26159,26263,25960,1350,1.21
2015-10-06,26512,26300,26621,26272,16740,1.6
2015-10-07,26449,26555,26675,26320,18410,-0.24
2015-10-08,26351,26400,26499,26240,15300,-0.37
2015-10-09,26515,26311,26595,26263,16340,0.62
2015-10-12,26678,26626,26820,26527,16370,0.61
2015-10-13,26872,26640,26916,26503,20360,0.73
2015-10-14,27088,26920,27164,26756,21560,0.8
2015-10-15,27142,27130,27228,26940,20300,0.2
2015-10-16,27029,27102,27102,26942,13690,-0.42
2015-10-19,26882,26950,26950,26803,11290,-0.54
2015-10-20,26993,26821,27058,26756,15060,0.41
2015-10-21,26821,27036,27080,26801,12720,-0.64
2015-10-22,26737,26850,26877,26715,6530,-0.31
2015-10-23,26676,26759,26965,26602,16270,-0.23
2015-10-26,26689,26750,26790,26642,8550,0.05
2015-10-27,26790,26678,26820,26650,8790,0.38
2015-10-28,26930,26824,27033,26797,12540,0.52
2015-10-29,26470,26800,26800,26450,12520,-1.71
2015-10-30,26355,26464,26464,26281,8800,-0.43
2015-11-02,26228,26450,26450,26181,3900,-0.48
2015-11-03,25863,26240,26310,25833,1250,-1.39
2015-11-04,25646,25950,25993,25126,1190,-0.84
2015-11-05,25791,25661,25917,25661,270,0.57
2015-11-06,25538,25834,25918,25485,17490,-0.98
2015-11-09,25699,25619,25780,25619,13210,0.63
2015-11-10,25604,25710,25750,25510,11940,-0.37
2015-11-11,25490,25523,25548,25477,2700,-0.45
2015-11-12,25341,25480,25555,25223,9560,-0.58
2015-11-13,25388,25395,25519,25351,10870,0.19
2015-11-16,25360,25488,25740,25336,16640,-0.11
2015-11-17,25038,25284,25375,24978,17530,-1.27
2015-11-18,25108,25000,25180,25000,13280,0.28
2015-11-19,25308,25199,25442,25110,20140,0.8
2015-11-20,25252,25356,25496,25214,16280,-0.22
2015-11-23,25180,25235,25287,25084,13970,-0.29
2015-11-24,25305,25199,25395,25173,13980,0.5
2015-11-25,25230,25250,25280,25154,7600,-0.3
2015-11-26,25288,25260,25346,25250,8980,0.23
2015-11-27,25071,25221,25281,24981,13070,-0.86
2015-11-30,25114,24961,25180,24950,10330,0.17
2015-12-01,25018,25189,25250,24975,3710,-0.38
2015-12-02,24895,25169,25190,24860,240,-0.49
2015-12-03,25043,24890,25149,24803,40,0.59
2015-12-04,25631,25110,25750,25066,90,2.35
2015-12-07,25443,25589,25620,25410,9900,-0.73
2015-12-08,25424,25406,25515,25275,11440,-0.07
2015-12-09,25499,25470,25637,25333,15120,0.29
2015-12-10,25328,25455,25455,25303,10140,-0.67
2015-12-11,25581,25300,25610,25162,18050,1.0
2015-12-14,25256,25518,25539,25241,14420,-1.27
2015-12-15,25173,25256,25317,25111,12670,-0.33
2015-12-16,25372,25235,25400,25122,13480,0.79
2015-12-17,24766,25302,25302,24671,20770,-2.39
2015-12-18,25011,24802,25146,24781,15390,0.99
2015-12-21,25302,25067,25335,25051,14980,1.16
2015-12-22,25176,25242,25316,25155,12140,-0.5
2015-12-23,25004,25150,25170,24992,10710,-0.68
2015-12-24,25147,25040,25180,25035,5610,0.57
2015-12-28,25077,25136,25142,25062,8710,-0.28
2015-12-29,25106,25129,25243,25092,10210,0.12
